2025-05-13 17:31:18,261 INFO    MainThread:23469 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_setup.py:_flush():70] Configure stats pid to 23469
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_setup.py:_flush():70] Loading settings from /Users/mingu/.config/wandb/settings
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_setup.py:_flush():70] Loading settings from /Users/mingu/Desktop/CODING/brAIn/2th/brAIn_2th_Torch_Session/week3/wandb/settings
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/mingu/Desktop/CODING/brAIn/2th/brAIn_2th_Torch_Session/week3/wandb/run-20250513_173118-zqt1aikt/logs/debug.log
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/mingu/Desktop/CODING/brAIn/2th/brAIn_2th_Torch_Session/week3/wandb/run-20250513_173118-zqt1aikt/logs/debug-internal.log
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_init.py:init():852] calling init triggers
2025-05-13 17:31:18,262 INFO    MainThread:23469 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-13 17:31:18,263 INFO    MainThread:23469 [wandb_init.py:init():893] starting backend
2025-05-13 17:31:18,263 INFO    MainThread:23469 [wandb_init.py:init():897] sending inform_init request
2025-05-13 17:31:18,300 INFO    MainThread:23469 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-05-13 17:31:18,300 INFO    MainThread:23469 [wandb_init.py:init():907] backend started and connected
2025-05-13 17:31:18,304 INFO    MainThread:23469 [wandb_init.py:init():1005] updated telemetry
2025-05-13 17:31:18,330 INFO    MainThread:23469 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-13 17:31:20,285 INFO    MainThread:23469 [wandb_init.py:init():1104] starting run threads in backend
2025-05-13 17:31:20,335 INFO    MainThread:23469 [wandb_run.py:_console_start():2573] atexit reg
2025-05-13 17:31:20,335 INFO    MainThread:23469 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-13 17:31:20,335 INFO    MainThread:23469 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-13 17:31:20,335 INFO    MainThread:23469 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-13 17:31:20,337 INFO    MainThread:23469 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-13 17:31:21,096 INFO    MsgRouterThr:23469 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
