[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                   
{'loss': 2.31, 'grad_norm': 1.330902338027954, 'learning_rate': 9.615384615384617e-07, 'epoch': 0.02}
{'loss': 2.2993, 'grad_norm': 1.4837346076965332, 'learning_rate': 2.02991452991453e-06, 'epoch': 0.04}
{'loss': 2.3124, 'grad_norm': 1.9378761053085327, 'learning_rate': 3.0982905982905984e-06, 'epoch': 0.06}
{'loss': 2.3026, 'grad_norm': 1.2269058227539062, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.09}
{'loss': 2.3028, 'grad_norm': 1.2905266284942627, 'learning_rate': 5.235042735042736e-06, 'epoch': 0.11}
{'loss': 2.2976, 'grad_norm': 1.4334115982055664, 'learning_rate': 6.303418803418804e-06, 'epoch': 0.13}
{'loss': 2.2982, 'grad_norm': 1.818701148033142, 'learning_rate': 7.371794871794873e-06, 'epoch': 0.15}
{'loss': 2.2939, 'grad_norm': 1.4171611070632935, 'learning_rate': 8.44017094017094e-06, 'epoch': 0.17}
{'loss': 2.2819, 'grad_norm': 1.346922516822815, 'learning_rate': 9.508547008547009e-06, 'epoch': 0.19}
{'loss': 2.283, 'grad_norm': 1.4773129224777222, 'learning_rate': 1.0576923076923077e-05, 'epoch': 0.21}
{'loss': 2.2775, 'grad_norm': 1.9670988321304321, 'learning_rate': 1.1645299145299147e-05, 'epoch': 0.23}
{'loss': 2.2715, 'grad_norm': 1.5069499015808105, 'learning_rate': 1.2713675213675213e-05, 'epoch': 0.26}
{'loss': 2.2633, 'grad_norm': 1.3038090467453003, 'learning_rate': 1.3782051282051284e-05, 'epoch': 0.28}
{'loss': 2.2541, 'grad_norm': 1.6007684469223022, 'learning_rate': 1.485042735042735e-05, 'epoch': 0.3}
{'loss': 2.2474, 'grad_norm': 1.7869137525558472, 'learning_rate': 1.591880341880342e-05, 'epoch': 0.32}
{'loss': 2.235, 'grad_norm': 1.8877596855163574, 'learning_rate': 1.698717948717949e-05, 'epoch': 0.34}
{'loss': 2.2284, 'grad_norm': 1.6247774362564087, 'learning_rate': 1.8055555555555555e-05, 'epoch': 0.36}
{'loss': 2.2225, 'grad_norm': 1.4928134679794312, 'learning_rate': 1.9123931623931624e-05, 'epoch': 0.38}
{'loss': 2.2086, 'grad_norm': 1.8314669132232666, 'learning_rate': 2.0192307692307694e-05, 'epoch': 0.41}
{'loss': 2.1979, 'grad_norm': 1.3701144456863403, 'learning_rate': 2.126068376068376e-05, 'epoch': 0.43}
{'loss': 2.1851, 'grad_norm': 1.5392628908157349, 'learning_rate': 2.232905982905983e-05, 'epoch': 0.45}
{'loss': 2.1765, 'grad_norm': 1.558110237121582, 'learning_rate': 2.33974358974359e-05, 'epoch': 0.47}
{'loss': 2.17, 'grad_norm': 1.3338959217071533, 'learning_rate': 2.4465811965811966e-05, 'epoch': 0.49}
{'loss': 2.1511, 'grad_norm': 1.3700346946716309, 'learning_rate': 2.5534188034188033e-05, 'epoch': 0.51}
{'loss': 2.1432, 'grad_norm': 1.4401116371154785, 'learning_rate': 2.6602564102564102e-05, 'epoch': 0.53}
{'loss': 2.1225, 'grad_norm': 1.8275272846221924, 'learning_rate': 2.7670940170940176e-05, 'epoch': 0.55}
{'loss': 2.1145, 'grad_norm': 1.5260847806930542, 'learning_rate': 2.873931623931624e-05, 'epoch': 0.58}
{'loss': 2.0908, 'grad_norm': 1.4809569120407104, 'learning_rate': 2.9807692307692308e-05, 'epoch': 0.6}
{'loss': 2.0759, 'grad_norm': 1.6406915187835693, 'learning_rate': 3.087606837606838e-05, 'epoch': 0.62}
{'loss': 2.0565, 'grad_norm': 1.905380129814148, 'learning_rate': 3.194444444444444e-05, 'epoch': 0.64}
{'loss': 2.0435, 'grad_norm': 1.5265376567840576, 'learning_rate': 3.301282051282051e-05, 'epoch': 0.66}
{'loss': 2.0317, 'grad_norm': 1.8879146575927734, 'learning_rate': 3.408119658119659e-05, 'epoch': 0.68}
{'loss': 2.0134, 'grad_norm': 1.482924461364746, 'learning_rate': 3.514957264957265e-05, 'epoch': 0.7}
{'loss': 1.9792, 'grad_norm': 1.3653899431228638, 'learning_rate': 3.621794871794872e-05, 'epoch': 0.73}
{'loss': 1.979, 'grad_norm': 1.4226125478744507, 'learning_rate': 3.728632478632479e-05, 'epoch': 0.75}
{'loss': 1.9523, 'grad_norm': 1.3706998825073242, 'learning_rate': 3.835470085470086e-05, 'epoch': 0.77}
{'loss': 1.9363, 'grad_norm': 1.791931390762329, 'learning_rate': 3.942307692307692e-05, 'epoch': 0.79}
{'loss': 1.9172, 'grad_norm': 1.3721119165420532, 'learning_rate': 4.049145299145299e-05, 'epoch': 0.81}
{'loss': 1.8889, 'grad_norm': 1.6502115726470947, 'learning_rate': 4.155982905982906e-05, 'epoch': 0.83}
{'loss': 1.8773, 'grad_norm': 1.6309382915496826, 'learning_rate': 4.262820512820513e-05, 'epoch': 0.85}
{'loss': 1.849, 'grad_norm': 1.7372974157333374, 'learning_rate': 4.36965811965812e-05, 'epoch': 0.87}
{'loss': 1.8139, 'grad_norm': 1.362518548965454, 'learning_rate': 4.476495726495727e-05, 'epoch': 0.9}
{'loss': 1.804, 'grad_norm': 1.576303243637085, 'learning_rate': 4.5833333333333334e-05, 'epoch': 0.92}
{'loss': 1.7841, 'grad_norm': 1.2622816562652588, 'learning_rate': 4.6901709401709404e-05, 'epoch': 0.94}
{'loss': 1.7429, 'grad_norm': 1.5591990947723389, 'learning_rate': 4.797008547008547e-05, 'epoch': 0.96}
{'loss': 1.7239, 'grad_norm': 1.4617294073104858, 'learning_rate': 4.9038461538461536e-05, 'epoch': 0.98}
                                                                                                                   
